"레벨","직업","부위","장비명","획득 보스","확률 설명"
"10","전사","무기","10레벨 토벌자의 장창","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","투구","10레벨 토벌자의 전투투구","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","갑옷","10레벨 토벌자의 흉갑","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","바지","10레벨 토벌자의 판금각반","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","장갑","10레벨 토벌자의 철장갑","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","신발","10레벨 토벌자의 전투장화","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","반지","10레벨 토벌자의 인장반지","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","귀걸이","10레벨 토벌자의 전공귀걸이","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"10","전사","펜던트","10레벨 토벌자의 수호패","초목왕 모루 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","무기","20레벨 토벌자의 장창","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","투구","20레벨 토벌자의 전투투구","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","갑옷","20레벨 토벌자의 흉갑","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","바지","20레벨 토벌자의 판금각반","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","장갑","20레벨 토벌자의 철장갑","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","신발","20레벨 토벌자의 전투장화","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","반지","20레벨 토벌자의 인장반지","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","귀걸이","20레벨 토벌자의 전공귀걸이","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"20","전사","펜던트","20레벨 토벌자의 수호패","거목 수호자 / 들판의 군주","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","무기","30레벨 토벌자의 장창","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","투구","30레벨 토벌자의 전투투구","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","갑옷","30레벨 토벌자의 흉갑","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","바지","30레벨 토벌자의 판금각반","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","장갑","30레벨 토벌자의 철장갑","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","신발","30레벨 토벌자의 전투장화","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
"30","전사","반지","30레벨 토벌자의 인장반지","달그림자 루엔 / 월광 사슴왕","일일 10%; 주간 25% × 레벨 50%; 직업 20%; 부위 1/9"
