"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"1","24","43.8","2873","달의 연못","471","48268","10","2","11","3","0","35","0","2","0","초목왕 모루 / 거목 수호자 / 들판의 군주"
"2","43","99.3","5187","입구 갱도","1178","123413","24","3","30","6","1","99","0","2","0","달그림자 루엔 / 고목왕 아르벨 / 월광 사슴왕"
"3","55","81.4","5549","폐광 심층","2211","204271","56","7","31","7","2","202","0","5","0","강철 거인"
"4","64","70.9","5550","용암 심장","3871","274282","72","9","38","10","2","279","0","5","0","수정 포식자 / 광산왕 크로투스 / 화염 사냥개"
"5","71","90.2","5536","용암 심장","4241","373814","72","9","42","11","2","348","0","4","0","용암 거신"
"6","77","81.6","5508","용암 심장","4626","447252","72","9","47","11","2","410","0","6","0",""
"7","83","2.7","5518","망령 회랑","5882","380395","90","9","63","13","3","515","0","3","0","재의 군주 / 유령 기사"
"8","87","70.1","5512","망령 회랑","6345","416022","90","9","68","13","3","588","0","2","0",""
"9","91","98.1","5540","망령 회랑","6665","536585","90","9","70","14","4","688","0","8","0","망령 여왕"
"10","95","82.1","5461","왕의 무덤","7062","614269","90","9","72","14","4","797","0","6","0",""
"11","99","41","5480","왕의 무덤","7377","691229","90","9","74","14","4","886","0","7","0",""
"12","102","80.9","5503","얼음 동굴","9749","619492","90","9","84","16","4","986","0","6","0","불멸의 왕 / 설원 포식자"
"13","106","5.5","5523","빙하 정상","10351","641564","90","9","89","17","4","1068","0","7","0","빙결 마녀"
"14","109","11.4","5511","빙하 정상","11641","766499","90","9","91","17","4","1142","0","8","0",""
"15","112","2.3","5539","빙하 정상","11894","920023","90","9","91","17","4","1223","0","9","0",""
"16","114","75.1","5470","빙하 정상","11037","1067543","90","9","91","17","4","1291","0","9","0",""
"17","117","38.2","5505","모래바람 길","12337","1166252","90","9","93","18","4","1413","0","9","1","빙룡 이스라"
"18","119","98.3","5539","모래바람 길","12217","1303003","90","9","96","18","5","1536","0","9","1",""
"19","122","43.1","5529","태양 무덤","15079","656288","108","9","109","19","5","1613","0","9","0","모래 군주"
"20","124","80.4","5531","매몰된 도시","14908","815051","108","9","109","19","5","1702","0","9","1",""
"21","127","7.6","5520","태양 무덤","15171","1005911","108","9","109","20","5","1789","0","9","2","태양 수호자"
"22","129","28.2","5534","태양 무덤","16383","1175223","108","9","109","20","5","1871","0","9","2",""
"23","131","40.9","5515","태양 무덤","14836","1348693","108","9","109","20","5","1969","0","9","2",""
"24","133","44.8","5456","태양 무덤","15822","1560601","108","9","109","20","5","2078","0","9","2",""
"25","135","42.6","5455","태양 무덤","15447","1729291","108","9","109","20","5","2171","0","9","2",""
"26","137","42.7","5520","구름 계단","16273","1978263","108","9","109","21","6","2307","0","9","2","사막왕 라칸"
"27","139","33.1","5522","구름 계단","15970","2149359","108","9","109","21","6","2396","0","9","3",""
"28","141","16.6","5460","구름 계단","16382","2149699","108","9","113","21","6","2451","0","9","4",""
"29","142","96.2","5461","구름 계단","16404","2316214","108","9","113","21","6","2509","0","9","4",""
"30","144","71.1","5461","빛의 회랑","16653","2484773","108","9","113","21","6","2578","0","9","4",""
"31","146","41.9","5433","빛의 회랑","17547","2419491","108","9","118","21","6","2655","0","9","3",""
"32","148","9.7","5459","빛의 회랑","17660","2498284","108","9","122","21","6","2737","0","9","2",""
"33","149","73.7","5460","빛의 회랑","17322","2515120","108","9","124","21","6","2794","0","9","1",""
"34","151","34.3","5463","빛의 회랑","17919","2471973","108","9","129","21","6","2858","0","9","0",""
"35","152","91.4","5447","빛의 회랑","18554","2670466","108","9","129","22","6","2943","0","9","1","타락한 사제"
"36","154","45.2","5430","별빛 제단","21044","2720279","108","9","131","22","6","2978","0","9","0",""
"37","155","97.5","5452","별빛 제단","19551","2898319","108","9","131","22","6","3052","0","9","1",""
"38","157","45.9","5425","빛의 회랑","18492","3005255","108","9","133","22","6","3148","0","9","1",""
"39","158","92.4","5467","빛의 회랑","19112","3203949","108","9","133","23","6","3243","0","9","1","천공 심판자"
"40","160","35.1","5428","별빛 제단","21478","2356680","135","9","133","23","6","3302","0","9","1",""
"41","161","76.4","5437","별빛 제단","20787","2559220","135","9","133","25","6","3374","0","9","2","성역의 주인 / 시계 거인"
"42","163","16.6","5501","별빛 제단","20571","2782640","135","9","133","25","6","3471","0","9","2",""
"43","164","53.5","5438","별빛 제단","19435","2952018","135","9","133","25","6","3511","0","9","3",""
"44","165","88.1","5444","뒤틀린 시계","22166","3115820","135","9","133","25","6","3562","0","9","3",""
"45","167","20.2","5413","별빛 제단","21292","3357280","135","9","133","25","6","3677","0","9","4",""
"46","168","49.6","5432","멈춘 거리","21481","3516620","135","9","133","25","6","3697","0","9","5",""
"47","169","77.8","5432","멈춘 거리","20956","3674960","135","9","133","25","6","3735","0","9","5",""
"48","171","4.3","5433","멈춘 거리","21265","3827820","135","9","133","25","6","3770","0","9","5",""
"49","172","29.3","5438","멈춘 거리","21399","4022896","135","9","133","25","6","3815","0","9","5",""
"50","173","52","5433","멈춘 거리","21068","4185256","135","9","133","25","6","3845","0","9","5",""
