"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"1","24","44","2874","달의 연못","480","48274","10","2","11","3","0","32","0","2","0","초목왕 모루 / 거목 수호자 / 들판의 군주"
"2","44","6.1","5250","달의 연못","742","118750","16","2","11","5","0","60","0","2","1","달그림자 루엔 / 고목왕 아르벨"
"3","55","24","5549","폐광 심층","1935","172253","56","7","26","7","1","152","0","5","1","월광 사슴왕 / 강철 거인"
"4","63","92.1","5551","용암 심장","3667","226522","72","9","39","9","2","233","0","6","0","수정 포식자 / 광산왕 크로투스"
"5","71","26.9","5537","용암 심장","4033","318507","72","9","43","10","2","287","0","5","0","화염 사냥개"
"6","77","29.6","5522","용암 심장","4269","404505","72","9","48","11","2","347","0","4","0","용암 거신"
"7","82","51.4","5502","망령 회랑","6041","341926","90","9","63","13","3","448","0","4","1","재의 군주 / 유령 기사"
"8","87","24.5","5512","망령 회랑","6306","464782","90","9","63","13","3","515","0","9","1",""
"9","91","57.5","5499","왕의 무덤","7440","532256","90","9","69","14","4","590","0","9","1","망령 여왕"
"10","95","50.4","5493","눈바람 길","7742","639026","90","9","72","15","4","705","0","9","0","불멸의 왕"
"11","99","22.2","5552","눈바람 길","8015","775054","90","9","72","15","4","788","0","9","0",""
"12","102","65.5","5498","눈바람 길","9183","802728","90","9","81","16","4","868","0","9","0","설원 포식자"
"13","105","89.4","5539","얼음 동굴","9625","942313","90","9","81","16","4","947","0","9","0",""
"14","108","94.2","5493","빙하 정상","11858","1002562","90","9","87","17","4","1020","0","9","0","빙결 마녀"
"15","111","90.7","5536","빙하 정상","11960","1197348","90","9","87","17","5","1126","0","9","1",""
"16","114","64.3","5473","빙하 정상","13049","1340416","90","9","87","17","5","1201","0","9","2",""
"17","117","28.7","5503","매몰된 도시","12747","1553167","90","9","87","18","5","1336","0","9","2","빙룡 이스라"
"18","119","85.2","5540","모래바람 길","12334","1706950","90","9","87","18","5","1441","0","9","3",""
"19","122","29.5","5526","태양 무덤","13922","1345549","108","9","96","19","5","1512","0","9","2","모래 군주"
"20","124","66.7","5515","태양 무덤","14533","1503419","108","9","96","19","5","1587","0","9","4",""
"21","126","93.6","5476","태양 무덤","14475","1607127","108","9","100","19","5","1666","0","9","3",""
"22","129","14.6","5531","태양 무덤","17282","1707820","108","9","102","20","5","1735","0","9","3","태양 수호자"
"23","131","33.2","5532","태양 무덤","14492","1936603","108","9","102","20","6","1850","0","9","4",""
"24","133","36.9","5443","태양 무덤","14852","2144272","108","9","102","20","6","1940","0","9","5",""
"25","135","35","5455","태양 무덤","17714","2244785","108","9","107","20","6","1991","0","9","4",""
"26","137","27.1","5444","태양 무덤","15413","2354528","108","9","107","20","6","2067","0","8","4",""
"27","139","14.4","5454","태양 무덤","15515","2348694","108","9","111","20","6","2120","0","9","4",""
"28","140","96.9","5458","태양 무덤","16393","2321047","108","9","120","20","6","2179","0","9","2",""
"29","142","74.8","5466","태양 무덤","16303","2361835","108","9","120","20","6","2231","0","9","2",""
"30","144","48.4","5462","빛의 회랑","17825","2441277","108","9","127","21","6","2333","0","9","1","사막왕 라칸"
"31","146","20.8","5444","별빛 제단","20520","2411312","108","9","129","22","6","2417","0","9","0","타락한 사제"
"32","147","90.4","5460","별빛 제단","21156","2605612","108","9","129","22","6","2498","0","9","0",""
"33","149","57.3","5508","별빛 제단","20829","2634800","108","9","129","23","6","2580","0","9","0","천공 심판자"
"34","151","20.1","5482","별빛 제단","20195","2824940","108","9","131","23","6","2673","0","9","0",""
"35","152","78.9","5465","별빛 제단","20317","3028740","108","9","131","23","6","2756","0","9","2",""
"36","154","34.2","5451","별빛 제단","20580","3217360","108","9","131","23","6","2817","0","9","2",""
"37","155","86.1","5429","별빛 제단","20756","3386640","108","9","131","23","6","2877","0","9","7",""
"38","157","34.4","5409","별빛 제단","20442","3590120","108","9","131","23","6","2950","0","9","7",""
"39","158","80.7","5430","별빛 제단","20959","3773820","108","9","131","23","6","3015","0","9","8",""
"40","160","24.6","5442","뒤틀린 시계","22943","2715280","135","9","131","25","6","3110","0","9","8","성역의 주인 / 시계 거인"
"41","161","67.8","5475","뒤틀린 시계","21731","2583478","135","9","131","25","6","3153","0","9","8",""
"42","163","8","5469","뒤틀린 시계","22007","2793211","135","9","131","25","6","3208","0","9","8",""
"43","164","46.4","5475","뒤틀린 시계","21774","2975786","135","9","131","25","6","3299","0","9","9",""
"44","165","82.6","5469","뒤틀린 시계","23220","3168235","135","9","131","25","6","3457","0","9","9",""
"45","167","16.3","5432","영원의 틈","29643","3385339","135","9","131","25","6","3617","0","9","9",""
"46","168","49.7","5497","영원의 틈","30155","3625273","135","9","131","26","6","3820","0","9","9","균열의 군주"
"47","169","81.5","5507","영원의 틈","30174","3851427","135","9","131","26","6","3998","0","9","9",""
"48","171","11.2","5505","영원의 틈","30626","4059837","135","9","131","26","6","4174","0","9","9",""
"49","172","43","5464","영원의 틈","30830","4097538","135","9","136","26","8","4307","0","9","8",""
"50","173","67.9","5451","영원의 틈","31363","4303460","135","9","136","26","8","4382","0","9","8",""
