"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"1","24","47.5","2892","고목의 길","479","49177","10","2","11","3","0","24","0","2","0","초목왕 모루 / 거목 수호자 / 들판의 군주"
"2","43","93.3","5554","입구 갱도","1108","120884","32","4","20","6","1","100","0","4","0","달그림자 루엔 / 고목왕 아르벨 / 월광 사슴왕"
"3","55","51.8","5387","폐광 심층","2166","184578","72","9","27","7","2","191","0","7","0","강철 거인"
"4","64","8.3","5549","용암 심장","4226","223123","72","9","37","9","2","247","0","8","0","수정 포식자 / 광산왕 크로투스"
"5","71","43.6","5571","용암 심장","4627","323548","72","9","41","11","2","279","0","8","0","화염 사냥개 / 용암 거신"
"6","77","43.4","5518","용암 심장","4679","426054","72","9","43","11","2","337","0","8","1",""
"7","82","79.3","5532","왕의 무덤","7059","322775","90","9","58","13","3","443","0","7","0","재의 군주 / 유령 기사"
"8","87","65.6","5557","왕의 무덤","7429","468003","90","9","58","14","4","532","0","8","0","망령 여왕"
"9","91","98.1","5564","왕의 무덤","8387","504774","90","9","61","14","4","599","0","8","0",""
"10","95","95.2","5536","빙하 정상","9813","618695","90","9","69","15","4","737","0","9","0","불멸의 왕"
"11","99","70.4","5568","빙하 정상","10039","727512","90","9","71","15","4","830","0","9","0",""
"12","103","17.7","5547","빙하 정상","10197","820404","90","9","76","16","4","894","0","9","0","설원 포식자"
"13","106","41.3","5528","빙하 정상","10586","841183","90","9","82","17","4","972","0","9","0","빙결 마녀"
"14","109","46","5527","빙하 정상","10930","1017015","90","9","82","17","4","1060","0","9","0",""
"15","112","32.7","5493","빙하 정상","11498","1105644","90","9","87","17","4","1132","0","9","0",""
"16","115","4.1","5465","빙하 정상","10882","1266932","90","9","87","17","4","1206","0","9","1",""
"17","117","62.9","5468","빙하 정상","12730","1428620","90","9","89","17","4","1304","0","9","1",""
"18","120","17.3","5476","매몰된 도시","13263","1117190","108","9","100","18","5","1425","0","9","1","빙룡 이스라"
"19","122","61","5520","매몰된 도시","13116","1283649","108","9","98","19","5","1534","0","9","1","모래 군주"
"20","124","96.6","5526","태양 무덤","16680","1244888","108","9","107","19","5","1609","0","9","1",""
"21","127","23.9","5516","태양 무덤","15111","1458733","108","9","107","20","5","1690","0","9","2","태양 수호자"
"22","129","42.3","5490","태양 무덤","14676","1518258","108","9","109","20","5","1766","0","9","2",""
"23","131","54.7","5518","태양 무덤","15158","1712147","108","9","109","20","5","1855","0","9","2",""
"24","133","57.6","5440","태양 무덤","15505","1932451","108","9","109","20","5","1964","0","9","3",""
"25","135","55.3","5463","태양 무덤","14971","2123452","108","9","109","20","5","2046","0","9","3",""
"26","137","47.2","5456","태양 무덤","16164","2316302","108","9","109","20","5","2109","0","9","4",""
"27","139","34.6","5477","태양 무덤","16558","2498605","108","9","109","20","5","2171","0","9","4",""
"28","141","25.3","5509","별빛 제단","20806","2252023","108","9","124","22","6","2285","0","9","1","사막왕 라칸 / 타락한 사제"
"29","143","8.7","5525","별빛 제단","20537","2434623","108","9","124","22","6","2365","0","9","1",""
"30","144","87.1","5519","별빛 제단","21389","2464625","108","9","129","22","6","2439","0","9","1",""
"31","146","60","5477","별빛 제단","20088","2575877","108","9","133","23","6","2572","0","9","0","천공 심판자"
"32","148","29.5","5489","별빛 제단","20352","2780657","108","9","133","23","6","2664","0","9","0",""
"33","149","95.8","5505","별빛 제단","20737","2967757","108","9","133","23","6","2755","0","9","1",""
"34","151","57.7","5486","별빛 제단","22322","3163477","108","9","133","23","6","2836","0","9","2",""
"35","153","15.6","5453","별빛 제단","21580","3385237","108","9","133","24","6","2915","0","9","3","성역의 주인"
"36","154","71","5485","별빛 제단","20690","3574937","108","9","133","24","6","2990","0","9","3",""
"37","156","23.4","5482","뒤틀린 시계","21635","3750642","108","9","133","24","6","3059","0","9","3",""
"38","157","72","5426","뒤틀린 시계","21925","3964679","108","9","133","24","6","3130","0","9","3",""
"39","159","19.2","5475","뒤틀린 시계","22571","4192335","108","9","133","24","6","3222","0","9","4",""
"40","160","64.6","5488","뒤틀린 시계","23690","2537034","135","9","138","25","6","3311","0","9","4","시계 거인"
"41","162","12.6","5489","영원의 틈","25551","2770020","135","9","142","25","7","3398","0","9","4",""
"42","163","58.6","5501","뒤틀린 시계","28364","3060927","135","9","142","25","8","3535","0","9","6",""
"43","164","97.7","5530","뒤틀린 시계","27763","3050758","135","9","147","25","8","3615","0","9","5",""
"44","166","33.2","5484","뒤틀린 시계","27273","3250822","135","9","147","25","8","3692","0","9","6",""
"45","167","65.6","5434","뒤틀린 시계","28251","3497436","135","9","147","25","8","3796","0","9","6",""
"46","168","96.7","5460","뒤틀린 시계","28709","3699396","135","9","147","25","8","3877","0","9","6",""
"47","170","30.2","5441","뒤틀린 시계","28219","3979053","135","9","147","25","9","3996","0","9","6",""
"48","171","57.2","5461","뒤틀린 시계","29111","4167734","135","9","147","25","9","4072","0","9","7",""
"49","172","82.7","5461","뒤틀린 시계","28782","4383915","135","9","147","25","9","4145","0","9","8",""
"50","174","6.3","5460","뒤틀린 시계","29082","4261685","135","9","147","25","9","4263","0","9","9",""
"51","175","28.1","5462","영원의 틈","32084","4470834","135","9","149","26","9","4372","0","9","8","균열의 군주"
