"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"1","24","54.1","2887","달의 연못","724","45632","15","3","14","3","0","31","0","3","0","초목왕 모루 / 거목 수호자 / 들판의 군주"
"2","44","83.7","5558","입구 갱도","1324","126037","32","4","20","6","1","101","0","4","0","달그림자 루엔 / 고목왕 아르벨 / 월광 사슴왕"
"3","56","26.1","5537","폐광 심층","2139","194738","56","7","23","7","1","183","0","7","0","강철 거인"
"4","64","65","5534","붉은 절벽","3201","294128","72","9","29","9","2","265","0","9","0","수정 포식자 / 광산왕 크로투스"
"5","71","67.7","5534","용암 심장","4633","379756","72","9","36","11","2","321","0","9","0","화염 사냥개 / 용암 거신"
"6","77","71.9","5549","낡은 성문","5299","498234","72","9","38","12","2","397","0","9","0","재의 군주"
"7","83","11.4","5566","왕의 무덤","6828","424368","90","9","56","13","3","482","0","9","0","유령 기사"
"8","87","88.9","5550","왕의 무덤","6964","560568","90","9","56","14","3","562","0","9","0","망령 여왕"
"9","92","15","5508","왕의 무덤","7013","612520","90","9","62","14","3","628","0","9","0",""
"10","96","7.5","5482","눈바람 길","8081","740693","90","9","69","15","4","774","0","9","0","불멸의 왕"
"11","99","74.8","5553","눈바람 길","8344","836892","90","9","71","15","4","861","0","9","0",""
"12","103","22","5534","빙하 정상","10539","881558","90","9","84","16","5","964","0","9","0","설원 포식자"
"13","106","46.3","5546","빙하 정상","11150","969766","90","9","89","17","5","1058","0","9","0","빙결 마녀"
"14","109","51.9","5549","빙하 정상","11040","1145950","90","9","89","17","5","1145","0","9","0",""
"15","112","39.3","5514","매몰된 도시","13161","1194497","90","9","91","18","5","1232","0","9","0","빙룡 이스라"
"16","115","19","5557","매몰된 도시","12838","1356366","90","9","91","18","5","1316","0","9","0",""
"17","117","83.4","5511","매몰된 도시","15972","1527512","90","9","93","18","5","1454","0","9","0",""
"18","120","37","5527","태양 무덤","16320","1055914","108","9","107","19","5","1541","0","9","1","모래 군주"
"19","122","87.4","5530","태양 무덤","15541","1114070","108","9","109","19","6","1658","0","9","1",""
"20","125","24.1","5560","태양 무덤","16315","1277450","108","9","109","19","6","1754","0","9","1",""
