"일차","레벨","경험치(%)","당일 처치","사냥터","전투력","보유 골드","총 스타포스","장착 부위 수","장비 평균 레벨","보스 클리어 수","탑 최고 층","레드 잔량","블랙 잔량","에픽 이상 부위","레전더리 부위","새로 잡은 보스"
"1","24","45.1","2874","달의 연못","577","46691","15","3","10","3","0","62","0","3","0","초목왕 모루 / 거목 수호자 / 들판의 군주"
"2","44","52.3","5415","수정 굴","1771","87587","40","5","32","6","1","140","0","5","0","달그림자 루엔 / 고목왕 아르벨 / 월광 사슴왕"
"3","56","40","5532","폐광 심층","2679","185171","64","8","29","9","2","274","0","4","1","강철 거인 / 수정 포식자 / 광산왕 크로투스"
"4","65","1.4","5538","재의 골짜기","3640","248738","72","9","34","10","2","333","0","8","1","화염 사냥개"
"5","71","95.7","5523","용암 심장","4145","326526","72","9","39","11","2","392","0","8","1","용암 거신"
"6","77","85.2","5497","용암 심장","4500","425937","72","9","41","11","2","444","0","8","1",""
"7","83","14.2","5516","왕의 무덤","7084","355210","90","9","56","13","3","550","0","7","1","재의 군주 / 유령 기사"
"8","87","91.3","5550","왕의 무덤","7825","390119","90","9","62","14","3","635","0","6","0","망령 여왕"
"9","92","19.4","5536","눈바람 길","8150","512262","90","9","64","15","3","730","0","9","0","불멸의 왕"
"10","96","20.6","5523","얼음 동굴","8937","643146","90","9","69","15","4","891","0","9","0",""
"11","99","90.9","5564","얼음 동굴","9200","774406","90","9","69","15","4","975","0","9","0",""
"12","103","35","5543","빙하 정상","11302","676599","90","9","87","16","4","1056","0","9","0","설원 포식자"
"13","106","57.5","5526","빙하 정상","11882","772075","90","9","89","17","4","1145","0","9","0","빙결 마녀"
"14","109","66.5","5528","빙하 정상","14341","937066","90","9","91","17","5","1250","0","9","0",""
"15","112","53.8","5523","매몰된 도시","14346","1105510","90","9","91","18","5","1344","0","9","0","빙룡 이스라"
"16","115","31.9","5540","매몰된 도시","14272","1266090","90","9","91","18","5","1433","0","9","0",""
"17","117","96.5","5525","매몰된 도시","14616","1439398","90","9","91","18","5","1570","0","9","0",""
"18","120","49.5","5529","태양 무덤","15078","1139221","108","9","91","19","5","1662","0","9","0","모래 군주"
"19","122","94","5521","태양 무덤","15942","1197311","108","9","96","19","5","1755","0","9","1",""
"20","125","29.3","5531","태양 무덤","16048","1273864","108","9","98","19","5","1829","0","9","0",""
"21","127","55.2","5510","태양 무덤","16164","1325914","108","9","102","20","5","1900","0","9","2","태양 수호자"
"22","129","73","5500","태양 무덤","16533","1496614","108","9","102","20","5","1975","0","9","2",""
"23","131","84","5507","태양 무덤","16851","1530479","108","9","107","20","5","2046","0","9","2",""
"24","133","86","5439","태양 무덤","18735","1742681","108","9","107","20","5","2148","0","9","2",""
"25","135","89.6","5495","구름 계단","17156","1980803","108","9","107","21","6","2294","0","9","2","사막왕 라칸"
"26","137","84.1","5521","구름 계단","16885","2170181","108","9","107","21","6","2400","0","9","2",""
"27","139","73.9","5521","빛의 회랑","16829","2332437","108","9","107","21","6","2486","0","9","3",""
"28","141","57.8","5466","빛의 회랑","18009","2406856","108","9","111","21","6","2556","0","9","2",""
"29","143","38.5","5512","빛의 회랑","21082","2597129","108","9","111","22","6","2638","0","9","2","타락한 사제"
"30","145","14.1","5510","구름 계단","16763","2806985","108","9","111","22","6","2730","0","9","2",""
"31","146","82.9","5422","빛의 회랑","20986","3041667","108","9","111","22","6","2830","0","9","3",""
"32","148","48.7","5425","빛의 회랑","18651","3229657","108","9","111","22","6","2890","0","9","3",""
"33","150","11.3","5434","빛의 회랑","17379","3426652","108","9","111","22","6","2937","0","9","4",""
"34","151","70.7","5451","빛의 회랑","19411","3609435","108","9","111","22","6","2996","0","9","5",""
"35","153","27","5450","빛의 회랑","18996","3833195","108","9","111","22","6","3069","0","9","5",""
"36","154","80.9","5455","별빛 제단","19953","4021375","108","9","111","22","6","3134","0","9","5",""
"37","156","32.4","5453","빛의 회랑","19100","4231704","108","9","111","22","6","3196","0","9","5",""
"38","157","79.6","5437","빛의 회랑","19000","4466167","108","9","111","22","6","3296","0","9","5",""
"39","159","24.5","5455","별빛 제단","19391","4667283","108","9","111","22","6","3377","0","9","6",""
"40","160","68.1","5462","별빛 제단","21959","3345580","135","9","120","23","6","3435","0","9","4","천공 심판자"
"41","162","9.9","5488","뒤틀린 시계","26141","3592792","135","9","120","25","6","3548","0","9","5","성역의 주인 / 시계 거인"
"42","163","49.4","5474","별빛 제단","21463","3814508","135","9","120","25","6","3612","0","9","5",""
"43","164","86.8","5474","별빛 제단","25784","4022748","135","9","120","25","6","3665","0","9","6",""
"44","166","21.1","5442","뒤틀린 시계","23226","4224346","135","9","120","25","6","3730","0","9","6",""
"45","167","53.5","5430","뒤틀린 시계","26954","4298024","135","9","124","25","6","3794","0","9","6",""
"46","168","84.5","5447","뒤틀린 시계","27646","4140820","135","9","133","25","6","3884","0","9","5",""
"47","170","13.6","5455","뒤틀린 시계","27970","4379386","135","9","133","26","6","3986","0","9","5","균열의 군주"
"48","171","46.7","5498","뒤틀린 시계","28869","4662384","135","9","133","26","7","4102","0","9","5",""
"49","172","71.6","5431","뒤틀린 시계","28913","4899645","135","9","133","26","7","4156","0","9","6",""
"50","174","0.4","5436","영원의 틈","30568","4624769","135","9","138","26","8","4216","0","9","7",""
"51","175","27.2","5436","영원의 틈","30916","4912410","135","9","142","26","9","4309","0","9","6",""
"52","176","47.3","5434","뒤틀린 시계","29739","4949245","135","9","142","26","9","4409","0","9","6",""
"53","177","65.9","5449","뒤틀린 시계","30890","4875762","135","9","147","26","9","4467","0","9","4",""
"54","178","83.5","5455","뒤틀린 시계","30693","5095192","135","9","147","26","9","4538","0","9","4",""
"55","179","99.2","5456","영원의 틈","31231","5318425","135","9","147","26","9","4603","0","9","5",""
"56","181","14.3","5460","영원의 틈","34873","4339553","135","9","164","26","9","4659","0","9","4",""
"57","182","28","5460","공허의 길","36113","3890416","135","9","169","28","9","4736","0","9","4","시간왕 크로노스 / 심연 기사"
"58","183","42.1","5507","영원의 틈","36543","4115890","135","9","169","28","9","4840","0","9","4",""
"59","184","52.9","5448","영원의 틈","35698","4382246","135","9","169","28","9","4940","0","9","4",""
"60","185","63.5","5496","영원의 틈","35170","4622158","135","9","169","28","9","5047","0","9","4",""
"61","186","71.8","5443","영원의 틈","35835","4830604","135","9","169","28","9","5122","0","9","5",""
"62","187","79","5443","영원의 틈","35952","5033050","135","9","169","28","9","5188","0","9","5",""
"63","188","84.3","5421","검은 성문","35692","5241012","135","9","169","28","9","5247","0","9","6",""
"64","189","88.9","5425","검은 성문","35539","5430062","135","9","169","28","9","5300","0","9","6",""
"65","190","92.4","5425","검은 성문","35953","5623612","135","9","169","28","9","5353","0","9","6",""
"66","191","94.9","5431","검은 성문","35594","5848994","135","9","169","28","9","5432","0","9","6",""
"67","192","96.1","5416","검은 성문","35360","6057046","135","9","169","28","9","5503","0","9","8",""
"68","193","96.5","5424","검은 성문","35752","6260674","135","9","169","28","9","5588","0","9","8",""
"69","194","95.8","5423","검은 성문","35771","6454180","135","9","169","28","9","5642","0","9","8",""
"70","195","94.3","5424","검은 성문","35786","6661208","135","9","169","28","9","5705","0","9","8",""
"71","196","90.9","5423","검은 성문","35805","6851214","135","9","169","28","9","5758","0","9","8",""
"72","197","85.9","5423","검은 성문","35446","7047520","135","9","169","28","9","5820","0","9","8",""
"73","198","79.3","5431","검은 성문","35964","7240302","135","9","169","28","9","5918","0","9","9",""
"74","199","73.3","5439","공허의 길","39220","7452899","135","9","169","28","9","6065","0","9","9",""
"75","200","0","5450","공허의 길","45922","28502","172","9","169","30","9","6275","0","9","9","공허 포식자 / 멸신왕 벨제리온"
"76","200","0","5464","공허의 길","46851","23873","165","9","171","30","10","6428","0","9","8",""
